country,year,total_cases,population
Malawi,1998,750000,10700180
Malawi,1999,790000,11012707
Malawi,2000,830000,11321496
Malawi,2001,860000,11623166
Malawi,2002,890000,11926778
Malawi,2003,910000,12238739
Malawi,2004,920000,12569091
Malawi,2005,930000,12924746
Malawi,2006,930000,13307535
Malawi,2007,930000,13713758
Malawi,2008,920000,14138207
Malawi,2009,920000,14573338
Nigeria,1995,1200000,108424827
Nigeria,1996,1500000,111166210
Nigeria,1997,1800000,113979481
Nigeria,1998,2000000,116867371
Nigeria,1999,2200000,119831888
Nigeria,2000,2400000,122876727
Nigeria,2001,2500000,126004992
Nigeria,2002,2600000,129224641
Nigeria,2003,2700000,132550146
Nigeria,2004,2800000,135999250
Nigeria,2005,2800000,139585891
Nigeria,2006,2900000,143314909
Nigeria,2007,3000000,147187353
Nigeria,2008,3100000,151208080
Nigeria,2009,3200000,155381020
Rwanda,1995,200000,5663838
Rwanda,1996,200000,5929575
Rwanda,1997,210000,6470628
Rwanda,1998,220000,7169658
Rwanda,1999,220000,7853015
Rwanda,2000,230000,8395577
Rwanda,2001,220000,8760003
Rwanda,2002,220000,8987523
Rwanda,2003,210000,9126167
Rwanda,2004,210000,9254379
Rwanda,2005,200000,9429457
Rwanda,2006,200000,9660946
Rwanda,2007,200000,9928143
Rwanda,2008,200000,10222961
Rwanda,2009,200000,10529668
Thailand,1995,700000,58983954
Thailand,1996,710000,59562136
Thailand,1997,710000,60206941
Thailand,1998,690000,60903042
Thailand,1999,680000,61623143
Thailand,2000,650000,62343379
Thailand,2001,630000,63069070
Thailand,2002,610000,63797841
Thailand,2003,590000,64488338
Thailand,2004,570000,65087400
Thailand,2005,560000,65559487
Thailand,2006,550000,65883961
Thailand,2007,540000,66076927
Thailand,2008,530000,66185340
Thailand,2009,520000,66277335
Tanzania,1995,1300000,29944302
Tanzania,1996,1400000,30780453
Tanzania,1997,1400000,31586039
Tanzania,1998,1400000,32378333
Tanzania,1999,1500000,33183093
Tanzania,2000,1500000,34020512
Tanzania,2001,1400000,34895398
Tanzania,2002,1400000,35806497
Tanzania,2003,1400000,36760831
Tanzania,2004,1400000,37765139
Tanzania,2005,1400000,38824384
Tanzania,2006,1400000,39942347
Tanzania,2007,1400000,41119693
Tanzania,2008,1400000,42353790
Tanzania,2009,1500000,43639752
Uganda,1995,1200000,20740726
Uganda,1996,1100000,21407693
Uganda,1997,1100000,22084527
Uganda,1998,1100000,22780451
Uganda,1999,1000000,23507800
Uganda,2000,1000000,24275641
Uganda,2001,990000,25088033
Uganda,2002,980000,25943441
Uganda,2003,990000,26838428
Uganda,2004,1000000,27766986
Uganda,2005,1000000,28724869
Uganda,2006,1100000,29711397
Uganda,2007,1100000,30728747
Uganda,2008,1200000,31778799
Uganda,2009,1300000,32864328
Ukraine,1995,34000,51146967
Ukraine,1996,63000,50821019
Ukraine,1997,110000,50421998
Ukraine,1998,160000,49974187
Ukraine,1999,200000,49510626
Ukraine,2000,230000,49057226
Ukraine,2001,250000,48620596
Ukraine,2002,260000,48200504
Ukraine,2003,280000,47807199
Ukraine,2004,290000,47450472
Ukraine,2005,300000,47135932
Ukraine,2006,310000,46871328
Ukraine,2007,320000,46653183
Ukraine,2008,300000,46461350
Ukraine,2009,280000,46267306
United States,1995,830000,268039654
United States,1996,840000,271231546
United States,1997,870000,274606475
United States,1998,910000,278053607
United States,1999,950000,281419130
United States,2000,980000,284594395
United States,2001,1000000,287532638
United States,2002,1000000,290270187
United States,2003,1100000,292883010
United States,2004,1100000,295487267
United States,2005,1100000,298165797
United States,2006,1200000,300942917
United States,2007,1200000,303786752
United States,2008,1200000,306657153
United States,2009,1300000,309491893
South Africa,1995,1200000,41426810
South Africa,1996,1700000,42204043
South Africa,1997,2300000,42906581
South Africa,1998,2900000,43558285
South Africa,1999,3500000,44195890
South Africa,2000,4000000,44846286
South Africa,2001,4400000,45513217
South Africa,2002,4700000,46187794
South Africa,2003,4900000,46869028
South Africa,2004,5000000,47553025
South Africa,2005,5200000,48235291
South Africa,2006,5200000,48919359
South Africa,2007,5300000,49602778
South Africa,2008,5400000,50267488
South Africa,2009,5400000,50889543
Zambia,1995,730000,8841338
Zambia,1996,750000,9073311
Zambia,1997,770000,9320089
Zambia,1998,790000,9577483
Zambia,1999,820000,9839179
Zambia,2000,840000,10100981
Zambia,2001,860000,10362137
Zambia,2002,880000,10625423
Zambia,2003,900000,10894519
Zambia,2004,910000,11174650
Zambia,2005,920000,11470022
Zambia,2006,920000,11781612
Zambia,2007,930000,12109620
Zambia,2008,940000,12456527
Zambia,2009,950000,12825031
Zimbabwe,1995,1600000,11639364
Zimbabwe,1996,1700000,11846110
Zimbabwe,1997,1800000,12045813
Zimbabwe,1998,1900000,12229500
Zimbabwe,1999,1900000,12384727
Zimbabwe,2000,1900000,12503652
Zimbabwe,2001,1800000,12586763
Zimbabwe,2002,1700000,12640922
Zimbabwe,2003,1700000,12673103
Zimbabwe,2004,1600000,12693047
Zimbabwe,2005,1500000,12710589
Zimbabwe,2006,1400000,12724308
Zimbabwe,2007,1300000,12740160
Zimbabwe,2008,1300000,12784041
Zimbabwe,2009,1200000,12888918
